Rank,Model,Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
127,thenlper/gte-small,NA,0.033,0.033,384,512,24.07,24.07,24.07
128,izhx/udever-bloom-7b1,100,,,,,23.88,23.88,23.88
129,abhinand/MedEmbed-small-v0.1,100,0.033,0.033,384,512,23.63,23.63,23.63
130,manveertamber/cadet-embed-base-v1,87,0.109,0.109,768,512,23.61,23.61,23.61
131,Snowflake/snowflake-arctic-embed-xs,100,0.023,0.023,384,512,23.36,23.36,23.36
132,BAAI/bge-base-en-v1.5,100,0.109,0.109,768,512,23.35,23.35,23.35
133,thenlper/gte-large,NA,0.335,0.335,1024,512,23.23,23.23,23.23
134,jinaai/jina-embedding-b-en-v1,100,0.11,0.11,768,512,23.11,23.11,23.11
135,BAAI/bge-large-en-v1.5,100,0.335,0.335,1024,512,23.06,23.06,23.06
136,nomic-ai/nomic-embed-text-v1-unsupervised,100,0.137,0.137,768,8192,23.06,23.06,23.06
137,BAAI/bge-small-en-v1.5,100,0.033,0.033,512,512,23.00,23.00,23.00
138,intfloat/e5-large,100,0.335,0.335,1024,512,22.90,22.90,22.90
139,Snowflake/snowflake-arctic-embed-l-v2.0,100,0.568,0.568,1024,8192,22.82,22.82,22.82
140,ibm-granite/granite-embedding-small-english-r2,100,0.048,0.048,384,8192,22.77,22.77,22.77
141,manu/sentence_croissant_alpha_v0.3,100,1.28,1.28,2048,2048,22.55,22.55,22.55
142,manu/sentence_croissant_alpha_v0.4,100,1.28,1.28,2048,2048,22.53,22.53,22.53
143,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,100,7.153,7.153,4096,32768,22.48,22.48,22.48
144,Mihaiii/Wartortle,100,0.017,0.017,384,512,22.42,22.42,22.42
145,thenlper/gte-base,NA,0.109,0.109,768,512,22.27,22.27,22.27
146,manu/bge-m3-custom-fr,87,0.568,0.568,1024,8194,22.26,22.26,22.26
147,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100,0.278,0.278,768,512,22.24,22.24,22.24
148,sentence-transformers/static-retrieval-mrl-en-v1,100,0.031,0.031,1024,,22.18,22.18,22.18
149,BAAI/bge-large-en,100,0.335,0.335,1024,512,22.15,22.15,22.15
150,sdadas/mmlw-e5-small,100,0.118,0.118,384,512,22.10,22.10,22.10
151,bisectgroup/BiCA-base,100,0.109,0.109,768,512,22.01,22.01,22.01
152,sdadas/mmlw-e5-base,100,0.278,0.278,768,514,21.98,21.98,21.98
153,Mihaiii/gte-micro-v4,NA,0.019,0.019,384,512,21.91,21.91,21.91
154,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,100,0.023,0.023,384,512,21.80,21.80,21.80
155,omarelshehy/arabic-english-sts-matryoshka,NA,0.56,0.56,1024,514,21.74,21.74,21.74
156,ibm-granite/granite-embedding-107m-multilingual,100,0.107,0.107,384,512,21.67,21.67,21.67
157,Snowflake/snowflake-arctic-embed-m-long,100,0.137,0.137,768,2048,21.62,21.62,21.62
158,mteb/baseline-bm25s,NA,0,0,,,21.62,21.62,21.62
159,izhx/udever-bloom-3b,100,3.003,3.003,,,21.50,21.50,21.50
160,Mihaiii/Bulbasaur,NA,0.017,0.017,384,512,21.43,21.43,21.43
161,Mihaiii/Squirtle,100,0.016,0.016,384,512,21.31,21.31,21.31
162,sentence-transformers/all-mpnet-base-v2,100,0.109,0.109,768,384,21.27,21.27,21.27
163,dwzhu/e5-base-4k,100,0.112,0.112,,4096,21.14,21.14,21.14
164,izhx/udever-bloom-1b1,100,1.065,1.065,,,20.96,20.96,20.96
165,intfloat/multilingual-e5-large,100,0.56,0.56,1024,514,20.84,20.84,20.84
166,intfloat/e5-small,100,0.033,0.033,384,512,20.78,20.78,20.78
167,sentence-transformers/all-MiniLM-L12-v2,100,0.033,0.033,384,256,20.71,20.71,20.71
168,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,100,0.118,0.118,384,512,20.52,20.52,20.52
169,brahmairesearch/slx-v0.1,NA,0.023,0.023,384,512,20.52,20.52,20.52
170,sentence-transformers/all-MiniLM-L6-v2,100,0.023,0.023,384,256,20.52,20.52,20.52
171,intfloat/multilingual-e5-base,100,0.278,0.278,768,514,20.37,20.37,20.37
172,Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,NA,0.471,0.471,768,512,20.25,20.25,20.25
173,intfloat/e5-small-v2,100,0.033,0.033,384,512,20.21,20.21,20.21
174,manu/sentence_croissant_alpha_v0.2,100,1.28,1.28,2048,2048,20.11,20.11,20.11
175,Gameselo/STS-multilingual-mpnet-base-v2,100,0.278,0.278,768,514,20.01,20.01,20.01
176,Lajavaness/bilingual-embedding-base,100,0.278,0.278,768,514,19.90,19.90,19.90
177,infgrad/stella-base-en-v2,NA,0.109,0.109,,512,19.70,19.70,19.70
178,ibm-granite/granite-embedding-30m-english,100,0.03,0.03,384,512,19.67,19.67,19.67
179,intfloat/e5-base-v2,100,0.109,0.109,768,512,19.61,19.61,19.61
180,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,100,0.278,0.278,768,514,19.51,19.51,19.51
181,deepfile/embedder-100p,NA,0.278,0.278,768,514,19.47,19.47,19.47
182,ai-forever/sbert_large_nlu_ru,100,0.427,0.427,1024,512,19.38,19.38,19.38
183,sdadas/mmlw-e5-large,100,0.56,0.56,1024,514,19.25,19.25,19.25
184,MongoDB/mdbr-leaf-mt,100,0.023,0.023,1024,512,19.18,19.18,19.18
185,nomic-ai/nomic-embed-text-v1.5,100,0.137,0.137,768,8192,19.16,19.16,19.16
186,intfloat/multilingual-e5-small,100,0.118,0.118,384,512,19.01,19.01,19.01
187,ai-forever/ru-en-RoSBERTa,100,0.404,0.404,1024,512,18.85,18.85,18.85
188,sdadas/mmlw-roberta-base,100,0.124,0.124,768,514,18.81,18.81,18.81
189,codefuse-ai/F2LLM-v2-80M,100,0.08,0.08,320,40960,18.77,18.77,18.77
190,Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,100,0.118,0.118,384,512,18.38,18.38,18.38
191,nomic-ai/nomic-embed-text-v1-ablated,100,0.137,0.137,768,8192,18.30,18.30,18.30
192,BAAI/bge-base-en,100,0.109,0.109,768,512,18.11,18.11,18.11
193,sdadas/mmlw-roberta-large,100,0.435,0.435,1024,514,18.02,18.02,18.02
194,intfloat/e5-base,100,0.109,0.109,768,512,17.72,17.72,17.72
195,intfloat/e5-large-v2,100,0.335,0.335,1024,514,17.63,17.63,17.63
196,Mihaiii/Venusaur,NA,0.016,0.016,384,512,17.57,17.57,17.57
197,minishlab/potion-base-8M,100,0.008,0.008,256,,17.40,17.40,17.40
198,aari1995/German_Semantic_STS_V2,NA,0.336,0.336,1024,512,17.10,17.10,17.10
199,consciousAI/cai-lunaris-text-embeddings,NA,0.335,0.335,1024,512,16.81,16.81,16.81
200,minishlab/potion-multilingual-128M,87,0.128,0.128,256,,16.79,16.79,16.79
201,Mihaiii/gte-micro,NA,0.017,0.017,384,512,16.77,16.77,16.77
202,sentence-transformers/LaBSE,100,0.471,0.471,768,512,16.72,16.72,16.72
203,sentence-transformers/static-similarity-mrl-multilingual-v1,100,0.108,0.108,1024,,16.63,16.63,16.63
204,minishlab/potion-base-4M,100,0.004,0.004,128,,16.52,16.52,16.52
205,nomic-ai/nomic-embed-text-v1,100,0.137,0.137,768,8192,16.25,16.25,16.25
206,BAAI/bge-base-zh-v1.5,100,0.109,0.109,768,512,16.19,16.19,16.19
207,cointegrated/LaBSE-en-ru,100,0.129,0.129,768,512,15.94,15.94,15.94
208,sergeyzh/LaBSE-ru-turbo,100,0.129,0.129,768,512,15.90,15.90,15.90
209,minishlab/potion-base-2M,100,0.002,0.002,64,,15.72,15.72,15.72
210,izhx/udever-bloom-560m,100,0.559,0.559,,,15.61,15.61,15.61
211,BAAI/bge-large-zh-v1.5,100,0.335,0.335,1024,512,15.42,15.42,15.42
212,shibing624/text2vec-base-multilingual,100,0.118,0.118,384,256,15.39,15.39,15.39
213,minishlab/M2V_multilingual_output,NA,0.128,0.128,256,,15.26,15.26,15.26
214,Jaume/gemma-2b-embeddings,100,2.506,2.506,2048,8192,15.23,15.23,15.23
215,BAAI/bge-small-zh-v1.5,100,0.033,0.033,512,512,14.89,14.89,14.89
216,malenia1/ternary-weight-embedding,NA,0.099,0.099,1024,512,14.83,14.83,14.83
217,DeepPavlov/rubert-base-cased-sentence,100,0.107,0.107,768,512,14.13,14.13,14.13
218,DeepPavlov/distilrubert-small-cased-conversational,100,0.107,0.107,768,512,14.09,14.09,14.09
219,cointegrated/rubert-tiny2,100,0.029,0.029,312,2048,13.81,13.81,13.81
220,sergeyzh/rubert-tiny-turbo,100,0.029,0.029,312,2048,13.62,13.62,13.62
221,minishlab/M2V_base_glove,100,0.102,0.102,256,,13.45,13.45,13.45
222,jinaai/jina-embeddings-v2-small-en,100,0.033,0.033,512,8192,13.02,13.02,13.02
223,minishlab/M2V_base_output,100,0.008,0.008,256,,12.72,12.72,12.72
224,cointegrated/rubert-tiny,100,0.012,0.012,312,512,12.63,12.63,12.63
225,Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,100,0.135,0.135,768,512,12.09,12.09,12.09
226,minishlab/M2V_base_glove_subword,100,0.103,0.103,256,,11.93,11.93,11.93
227,ai-forever/sbert_large_mt_nlu_ru,100,0.427,0.427,1024,512,11.76,11.76,11.76
228,DeepPavlov/rubert-base-cased,100,1.28,1.28,768,512,11.53,11.53,11.53
229,Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,100,0.109,0.109,768,514,10.87,10.87,10.87
230,jinaai/jina-embeddings-v2-base-en,100,0.137,0.137,768,8192,10.48,10.48,10.48
231,deepvk/USER-base,100,0.427,0.427,768,512,10.27,10.27,10.27
232,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,100,0.163,0.163,768,512,10.09,10.09,10.09
233,mteb/baseline-random-encoder,100,0,0,32,,9.80,9.80,9.80
234,deepvk/deberta-v1-base,100,0.124,0.124,768,512,9.71,9.71,9.71
235,shibing624/text2vec-base-chinese,100,0.102,0.102,768,512,9.70,9.70,9.70
236,silma-ai/silma-embeddding-matryoshka-v0.1,NA,0.135,0.135,768,512,9.34,9.34,9.34
